company_name,title,pay_text,hourly_wage_min,hourly_wage_max,employment_type,store_type
台湾点心とビール 恒久飯店,FOOD STADIUM TOKYOのキッチンスタッフ／東京ドームシティ新施設,"時給1,280円～ / 交通費支給",1280,1280.0,アルバイト・パート,不明
コメダ珈琲店 浅草ROX店,カフェスタッフ,"時給1,330円～1,380円 / 交通費支給",1330,1380.0,アルバイト・パート,不明
良心的大衆酒場 「鶴亀八番」池袋店,"日本酒好きに愛される居酒屋を""熱く楽しく""盛り上げるアルバイトスタッフ","時給1,300円～1,625円 / 交通費支給",1300,1625.0,アルバイト・パート,不明
銀のさら・釜寅・すし上等 高井戸店,フードデリバリースタッフ,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,不明
家庭教師のノーバス,小学生向けの家庭教師,"時給1,400円～9,000円 / 交通費支給",1400,9000.0,アルバイト・パート,個人店（推定）
ベル・オーブ 東京芸術劇場,カフェレストランのホール スタッフ／池袋駅西口すぐ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
デリリウムカフェレゼルブ 赤坂サカス,カフェレストランのキッチンスタッフ／赤坂駅直結,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
BAR SAKE LAB,バーレディ,"時給3,000円～",3000,,アルバイト・パート,不明
立食い寿司 根室花まる 錦糸町テルミナ店,寿司屋スタッフ／テルミナ店,"時給1,400円～1,863円 / 交通費支給",1400,1863.0,アルバイト・パート,不明
株式会社Dコネクト,髪色・ネイル・服装自由なコールセンタースタッフ／未経験OK／即日勤務可能／シフト自由,"時給1,500円～2,000円 / 交通費支給",1500,2000.0,アルバイト・パート,チェーン店
立川髙島屋S.C.大腸胃食道の内視鏡・消化器内科...,看護師パート!立川髙島屋S.C.内視鏡クリニック,"時給2,000円～ / 交通費支給",2000,2000.0,アルバイト・パート,不明
立食い寿司 根室花まる 錦糸町テルミナ店,寿司屋スタッフ／テルミナ店,"時給1,400円～1,863円 / 交通費支給",1400,1863.0,アルバイト・パート,不明
アイエムエムフードサービス株式会社,2026年にオープンするレストラキッチンスタッフ／NEWスタッフ大募集!,"時給1,300円～1,800円 / 交通費支給",1300,1800.0,アルバイト・パート,チェーン店
中華そば 半ざわ,ラーメン屋のホールスタッフ／週1日～、1日3時間～OK!シフトや髪型・髪色も自由です,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,個人店（推定）
シダックス大新東ヒューマンサービス株式会社,放課後子ども教室の保育補助／11:30～18:00／無資格・未経験OK／週2・6.5h～・土日祝休,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
モダン九州酒場 くろしき 新橋,カジュアルな九州料理酒場／調理サポートスタッフ,"時給1,400円～2,000円 / 交通費支給",1400,2000.0,アルバイト・パート,不明
株式会社ドン,アクセサリー販売会社での商品管理スタッフ／資格不問 未経験歓迎!オシャレ自由!社販有,"時給1,230円～ / 交通費支給",1230,1230.0,アルバイト・パート,チェーン店
回転寿司根室花まる メトロエム後楽園店,回転寿司店舗スタッフ／後楽園店,"時給1,450円～1,863円 / 交通費支給",1450,1863.0,アルバイト・パート,不明
立食い寿司 根室花まる エキュートエディション新...,ホール・サービススタッフ／新橋店,"時給1,500円～1,863円 / 交通費支給",1500,1863.0,アルバイト・パート,不明
株式会社恵,送迎ドライバー,"時給1,250円～1,400円 / 交通費支給",1250,1400.0,アルバイト・パート,チェーン店
大平薬局,残業なし&駅チカ!シフトも柔軟に対応OK!調剤薬局の薬剤師,"時給2,000円 / 交通費支給",2000,2000.0,アルバイト・パート,個人店（推定）
BAR MIMI,バーテンダーキャスト,"時給2,850円～4,150円",2850,4150.0,アルバイト・パート,個人店（推定）
BRISK STAND 中目黒店,オシャレ自由な飲食店の調理スタッフ,"時給1,350円～2,000円",1350,2000.0,アルバイト・パート,不明
株式会社AVEND,下北沢の古着屋スタッフ,"時給1,230円",1230,1230.0,アルバイト・パート,チェーン店
フロプレステージュ 日の出イオン店,FLOケーキの製造やフルーツの盛付け,"時給1,226円～1,326円 / 交通費支給",1226,1326.0,アルバイト・パート,不明
株式会社TSダイニング,鉄板焼きホールスタッフ,"時給1,300円～1,800円 / 交通費支給",1300,1800.0,アルバイト・パート,チェーン店
HARAKIRI BAR CHONMAGE,ミックスバー・カウンタースタッフ,"時給2,000円～3,000円",2000,3000.0,アルバイト・パート,不明
RED LINE,カジュアルBARラウンジのバーテンダー ホール,"時給1,600円～2,000円",1600,2000.0,アルバイト・パート,個人店（推定）
牛たん うしすけ 吉祥寺店,お洒落自由な牛タン焼肉店／調理補助スタッフ,"時給1,226円～1,526円 / 交通費支給",1226,1526.0,アルバイト・パート,不明
株式会社NIGITA 八王子配送センター,10kg〜20kgの酒のピッキング／もくもく働きたい方におすすめの倉庫作業,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
Al Ain,キャバクラのホール,"時給1,600円～",1600,,アルバイト・パート,個人店（推定）
株式会社三河屋,銀座三越の近くにある人気店のホールスタッフ／週2日～OK 未経験歓迎!ランチスタッフ急募中,"時給1,400円～ / 交通費支給",1400,1400.0,アルバイト・パート,チェーン店
株式会社ヤスダワークス,「パートから落ち着いたら正社員へ」大手物流倉庫グループの裏方スタッフ,"時給1,350円 / 交通費支給",1350,1350.0,アルバイト・パート,チェーン店
モロゾフ株式会社,バレンタイン販売スタッフ,"時給1,390円 / 交通費支給",1390,1390.0,アルバイト・パート,チェーン店
大平薬局,残業なし&駅チカ!シフトも柔軟に対応OK!調剤薬局の薬剤師,"時給2,000円 / 交通費支給",2000,2000.0,アルバイト・パート,個人店（推定）
株式会社NIGITA 八王子配送センター,10kg〜20kgの酒のピッキング／もくもく働きたい方におすすめの倉庫作業,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
株式会社MS&Consulting,覆面調査レポート確認・修正／時給1300円〜／上場企業／ネイルOK／駅徒歩1分,"時給1,300円～",1300,,アルバイト・パート,チェーン店
株式会社リースキン西東京,清掃作業・クリーンスタッフ JR北府中駅そば,"時給1,226円 / 交通費支給",1226,1226.0,アルバイト・パート,チェーン店
明治神宮野球場内 セントラルキッチン,球場内セントラルキッチンでの仕込みスタッフ,"時給1,400円～1,750円 / 交通費支給",1400,1750.0,アルバイト・パート,不明
Al Ain,キャバクラのホール,"時給1,600円～",1600,,アルバイト・パート,個人店（推定）
Girl’s Bar Love it～ガールズバ...,ガールズバーのカウンターレディ／東京都渋谷区,"時給3,000円～",3000,,アルバイト・パート,不明
株式会社FG,週1日～働ける冷蔵・冷凍倉庫内の仕分け・ピッキング／週1～／午後／学生歓迎／主婦・主夫歓迎,"時給1,270円～1,463円",1270,1463.0,アルバイト・パート,チェーン店
HOME’S PASTA 池袋東口店,綺麗なパスタ専門店／キッチン補助スタッフ,"時給1,250円～1,350円 / 交通費支給",1250,1350.0,アルバイト・パート,不明
フロプレステージュ 北千住マルイ店,フロプレステージュの早朝スタッフ,"時給1,226円～1,276円 / 交通費支給",1226,1276.0,アルバイト・パート,不明
A3 八王子店,パチンコ店の早番ホール・カウンタースタッフ,"時給1,226円～1,450円 / 交通費支給",1226,1450.0,アルバイト・パート,個人店（推定）
中央フードサービス株式会社,カフェスタッフ／社内カフェ／田町勤務,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
株式会社ファミリア,お客様の特別な時間を、共に創るホール・接客・キッチンスタッフ／経験者FAM39,"時給1,300円～1,500円 / 交通費支給",1300,1500.0,アルバイト・パート,チェーン店
ドトールコーヒーショップ 雪が谷店,カフェStaff,"時給1,250円～ / 交通費支給",1250,1250.0,アルバイト・パート,不明
HAVANA CAFE,ダイニングバーのランチ,"時給1,300円～ / 交通費支給",1300,1300.0,アルバイト・パート,不明
株式会社シノケンオフィスサービス,マンション共有部の清掃スタッフ／フィース日暮里,"時給1,300円 / 交通費支給",1300,1300.0,アルバイト・パート,チェーン店
銀のさら・釜寅・すし上等 調布店,お寿司などの配達・バイク便スタッフ,"時給1,290円～ / 交通費支給",1290,1290.0,アルバイト・パート,不明
株式会社こどもの森,データ入力など一般事務の学生バイト,"時給1,250円 / 交通費支給",1250,1250.0,アルバイト・パート,チェーン店
NI-YON LOUNGE,バーテンダー,"時給1,700円～2,200円",1700,2200.0,アルバイト・パート,不明
エス・シー・テクノロジー株式会社,飲食店向けのコールスタッフ／平日週3日・4~5h／日払い前払い可／髪色服装自由／秋葉原駅徒歩7分,"時給1,600円～2,000円",1600,2000.0,アルバイト・パート,チェーン店
株式会社バニッシュキングス,未経験者歓迎／ライブ配信サポートスタッフ／週2回～可／男女歓迎／週払可,"時給1,300円～1,875円 / 交通費支給",1300,1875.0,アルバイト・パート,チェーン店
